"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "HTML", "TypeScript JSX", "Markdown", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\ricar\Desktop\front-vw\vw-frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\.eslintrc.cjs", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\ricar\Desktop\front-vw\vw-frontend\.eslintrc.json", "JSON with Comments", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\ricar\Desktop\front-vw\vw-frontend\.github\pull_request_template.md", "Markdown", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 10, 28
"c:\Users\ricar\Desktop\front-vw\vw-frontend\.prettierrc.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\ricar\Desktop\front-vw\vw-frontend\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ricar\Desktop\front-vw\vw-frontend\package-lock.json", "JSON", 0, 0, 0, 8876, 0, 0, 0, 0, 0, 0, 0, 1, 8877
"c:\Users\ricar\Desktop\front-vw\vw-frontend\package.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\ricar\Desktop\front-vw\vw-frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\api\axios.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\app\store.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\5sIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\AbilitiesIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\AssitenceIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\FirstStateIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\FourthStateIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\PointsPlanIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\SecondStateIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\SettingIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\StandarWorkIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\TeamGoals.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\ThirdStateIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\analytics.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\arrow-growth.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\book-reader.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\bulletsButton.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\calender.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\categories.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\categoryIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\cell.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\channel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\chart-line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\chat-bubble-user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\checkIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\clipboard-notes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\clock-two 1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\clockIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\controlNumber.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\criticalRouteIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\crosshair.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\deleteIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\description.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\downloadIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\dropIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\editIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\escalateIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\helpIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
