"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\drawer\index.tsx", "TypeScript JSX", 0, 0, 124, 0, 10, 134
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\DetailBar.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, -1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\Drawer.tsx", "TypeScript JSX", 0, 0, -132, 0, -7, -139
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\IssueCardDetail.tsx", "TypeScript JSX", 0, 0, 33, 0, 9, 42
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\ProblemCard.tsx", "TypeScript JSX", 0, 0, -25, 0, -8, -33
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\detail-components\IssueCard.tsx", "TypeScript JSX", 0, 0, 8, 0, 1, 9
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\index.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, -1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-evolution\index.tsx", "TypeScript JSX", 0, 0, 12, 0, 3, 15
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\IssueCard.tsx", "TypeScript JSX", 0, 0, -9, 0, 4, -5
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports\ActualMonth.tsx", "TypeScript JSX", 0, 0, -9, 0, -3, -12
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports\ActualWeek.tsx", "TypeScript JSX", 0, 0, -9, 0, -3, -12
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports\ActualYear.tsx", "TypeScript JSX", 0, 0, -9, 0, -3, -12
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports\StatisticComponent.tsx", "TypeScript JSX", 0, 0, 85, 0, 8, 93
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports\Total.tsx", "TypeScript JSX", 0, 0, -122, 0, -5, -127
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\index.tsx", "TypeScript JSX", 0, 0, -13, -5, -4, -22
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\IssuesHistory\index.tsx", "TypeScript JSX", 0, 0, -79, 0, 0, -79
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\PendingProblems\index.tsx", "TypeScript JSX", 0, 0, -42, 0, -1, -43
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\SolvedProblems\index.tsx", "TypeScript JSX", 0, 0, -46, 0, 0, -46
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Assistence.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Issue.ts", "TypeScript", 0, 14, 0, 0, 1, 15
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\main.css", "CSS", -3, 0, 0, 3, 0, 0
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\CurrentYearResults.ts", "TypeScript", 0, 87, 0, 0, 1, 88
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\IssueMock.ts", "TypeScript", 0, 29, 0, 0, 1, 30
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\MonthResults.ts", "TypeScript", 0, 55, 0, 0, 1, 56
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\PendingProblems.ts", "TypeScript", 0, 21, 0, 0, 1, 22
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\SemesterResult.ts", "TypeScript", 0, 38, 0, 0, 1, 39
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\TotalResults.ts", "TypeScript", 0, 55, 0, 0, 1, 56
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\WeekResult.ts", "TypeScript", 0, 67, 0, 0, 1, 68
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\YearStatusIssues.ts", "TypeScript", 0, 17, 0, 0, 1, 18
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\routes\provider.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 4
"Total", "-", -3, 383, -231, -2, 11, 158
