Date : 2023-09-25 14:16:00
Directory : c:\Users\ricar\Desktop\front-vw\vw-frontend
Total : 260 files,  19505 codes, 289 comments, 874 blanks, all 20668 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      8,957 |          0 |          3 |      8,960 |
| TypeScript JSX     |        116 |      6,012 |        237 |        598 |      6,847 |
| TypeScript         |         71 |      3,863 |         24 |        193 |      4,080 |
| XML                |         60 |        384 |          0 |         51 |        435 |
| JavaScript         |          3 |        145 |          1 |          4 |        150 |
| JSON with Comments |          2 |         58 |         24 |          3 |         85 |
| CSS                |          1 |         54 |          3 |         11 |         68 |
| Markdown           |          1 |         18 |          0 |         10 |         28 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |        260 |     19,505 |        289 |        874 |     20,668 |
| . (Files)                                                                                                                                                |         12 |      9,201 |         25 |         14 |      9,240 |
| .github                                                                                                                                                  |          1 |         18 |          0 |         10 |         28 |
| src                                                                                                                                                      |        247 |     10,286 |        264 |        850 |     11,400 |
| src (Files)                                                                                                                                              |          4 |         78 |          5 |         19 |        102 |
| src\api                                                                                                                                                  |          1 |         27 |          1 |          8 |         36 |
| src\app                                                                                                                                                  |          1 |         26 |          0 |          5 |         31 |
| src\assets                                                                                                                                               |         60 |        384 |          0 |         51 |        435 |
| src\assets (Files)                                                                                                                                       |          4 |        197 |          0 |          2 |        199 |
| src\assets\icons                                                                                                                                         |         56 |        187 |          0 |         49 |        236 |
| src\commons                                                                                                                                              |          1 |         40 |          1 |          2 |         43 |
| src\components                                                                                                                                           |        112 |      5,845 |        225 |        580 |      6,650 |
| src\components\basic                                                                                                                                     |          9 |        321 |        112 |         33 |        466 |
| src\components\basic\card                                                                                                                                |          1 |         26 |          0 |          4 |         30 |
| src\components\basic\card_statistics                                                                                                                     |          1 |         41 |          0 |          3 |         44 |
| src\components\basic\circle_progress_indicator                                                                                                           |          1 |          7 |          0 |          1 |          8 |
| src\components\basic\dashboard-container                                                                                                                 |          1 |         10 |          0 |          2 |         12 |
| src\components\basic\drawer                                                                                                                              |          1 |        124 |          0 |         10 |        134 |
| src\components\basic\input                                                                                                                               |          2 |         65 |        112 |          6 |        183 |
| src\components\basic\uploadButton                                                                                                                        |          1 |         22 |          0 |          3 |         25 |
| src\components\basic\userManualButton                                                                                                                    |          1 |         26 |          0 |          4 |         30 |
| src\components\layout                                                                                                                                    |          4 |        129 |          0 |         21 |        150 |
| src\components\layout\sidebar                                                                                                                            |          3 |         91 |          0 |         15 |        106 |
| src\components\layout\topbar                                                                                                                             |          1 |         38 |          0 |          6 |         44 |
| src\components\pages                                                                                                                                     |         99 |      5,395 |        113 |        526 |      6,034 |
| src\components\pages\admin-panel                                                                                                                         |         20 |        917 |         36 |        109 |      1,062 |
| src\components\pages\admin-panel (Files)                                                                                                                 |          1 |         44 |          0 |          2 |         46 |
| src\components\pages\admin-panel\cells                                                                                                                   |          6 |        182 |         23 |         27 |        232 |
| src\components\pages\admin-panel\cells (Files)                                                                                                           |          2 |         69 |          0 |          9 |         78 |
| src\components\pages\admin-panel\cells\modules                                                                                                           |          4 |        113 |         23 |         18 |        154 |
| src\components\pages\admin-panel\users                                                                                                                   |         13 |        691 |         13 |         80 |        784 |
| src\components\pages\admin-panel\users (Files)                                                                                                           |          2 |         82 |         10 |         10 |        102 |
| src\components\pages\admin-panel\users\modules                                                                                                           |         11 |        609 |          3 |         70 |        682 |
| src\components\pages\admin-panel\users\modules (Files)                                                                                                   |          4 |        196 |          3 |         23 |        222 |
| src\components\pages\admin-panel\users\modules\Tabs                                                                                                      |          7 |        413 |          0 |         47 |        460 |
| src\components\pages\dashboard                                                                                                                           |         75 |      4,321 |         74 |        393 |      4,788 |
| src\components\pages\dashboard (Files)                                                                                                                   |          1 |        135 |          0 |          7 |        142 |
| src\components\pages\dashboard\assistence-per-shift                                                                                                      |          6 |        341 |          6 |         23 |        370 |
| src\components\pages\dashboard\assistence-per-shift (Files)                                                                                              |          1 |         26 |          0 |          4 |         30 |
| src\components\pages\dashboard\assistence-per-shift\modules                                                                                              |          5 |        315 |          6 |         19 |        340 |
| src\components\pages\dashboard\assistence-per-shift\modules\Tabs                                                                                         |          5 |        315 |          6 |         19 |        340 |
| src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance                                                                               |          3 |        192 |          6 |         12 |        210 |
| src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Historical                                                                              |          2 |        123 |          0 |          7 |        130 |
| src\components\pages\dashboard\colaborators                                                                                                              |          8 |        240 |         11 |         32 |        283 |
| src\components\pages\dashboard\colaborators (Files)                                                                                                      |          3 |         80 |          3 |         11 |         94 |
| src\components\pages\dashboard\colaborators\modules                                                                                                      |          5 |        160 |          8 |         21 |        189 |
| src\components\pages\dashboard\colaborators\modules\Tabs                                                                                                 |          2 |         87 |          1 |         12 |        100 |
| src\components\pages\dashboard\colaborators\modules\boardTechnitian                                                                                      |          3 |         73 |          7 |          9 |         89 |
| src\components\pages\dashboard\escalated-issues                                                                                                          |          7 |        205 |          3 |         25 |        233 |
| src\components\pages\dashboard\escalated-issues (Files)                                                                                                  |          2 |         42 |          0 |          7 |         49 |
| src\components\pages\dashboard\escalated-issues\modules                                                                                                  |          5 |        163 |          3 |         18 |        184 |
| src\components\pages\dashboard\fiveS                                                                                                                     |          3 |        338 |          2 |         16 |        356 |
| src\components\pages\dashboard\goals                                                                                                                     |          3 |        213 |          0 |         20 |        233 |
| src\components\pages\dashboard\hourlyIssues                                                                                                              |         10 |        860 |         36 |         87 |        983 |
| src\components\pages\dashboard\hourlyIssues (Files)                                                                                                      |          3 |        141 |          6 |         15 |        162 |
| src\components\pages\dashboard\hourlyIssues\modules                                                                                                      |          7 |        719 |         30 |         72 |        821 |
| src\components\pages\dashboard\hourlyIssues\modules (Files)                                                                                              |          5 |        658 |         30 |         61 |        749 |
| src\components\pages\dashboard\hourlyIssues\modules\detail-components                                                                                    |          2 |         61 |          0 |         11 |         72 |
| src\components\pages\dashboard\issues-evolution                                                                                                          |          2 |         89 |          0 |          8 |         97 |
| src\components\pages\dashboard\issues-tracking                                                                                                           |          7 |        825 |          0 |         42 |        867 |
| src\components\pages\dashboard\issues-tracking (Files)                                                                                                   |          1 |         39 |          0 |          5 |         44 |
| src\components\pages\dashboard\issues-tracking\modules                                                                                                   |          6 |        786 |          0 |         37 |        823 |
| src\components\pages\dashboard\issues-tracking\modules (Files)                                                                                           |          1 |         99 |          0 |          8 |        107 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs                                                                                              |          5 |        687 |          0 |         29 |        716 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel                                                                                 |          2 |        229 |          0 |         12 |        241 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel (Files)                                                                         |          1 |        144 |          0 |          4 |        148 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports                                                                    |          1 |         85 |          0 |          8 |         93 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs\IssuesHistory                                                                                |          1 |        170 |          0 |          6 |        176 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs\PendingProblems                                                                              |          1 |        144 |          0 |          5 |        149 |
| src\components\pages\dashboard\issues-tracking\modules\Tabs\SolvedProblems                                                                               |          1 |        144 |          0 |          6 |        150 |
| src\components\pages\dashboard\problem-list                                                                                                              |         10 |        436 |         10 |         57 |        503 |
| src\components\pages\dashboard\problem-list (Files)                                                                                                      |          2 |         53 |          0 |          9 |         62 |
| src\components\pages\dashboard\problem-list\modules                                                                                                      |          8 |        383 |         10 |         48 |        441 |
| src\components\pages\dashboard\problem-list\modules (Files)                                                                                              |          4 |        158 |          0 |         19 |        177 |
| src\components\pages\dashboard\problem-list\modules\Tabs                                                                                                 |          4 |        225 |         10 |         29 |        264 |
| src\components\pages\dashboard\problem-list\modules\Tabs\Pareto                                                                                          |          2 |        175 |         10 |         21 |        206 |
| src\components\pages\dashboard\problem-list\modules\Tabs\Quality                                                                                         |          1 |         25 |          0 |          4 |         29 |
| src\components\pages\dashboard\problem-list\modules\Tabs\VolumeAvailability                                                                              |          1 |         25 |          0 |          4 |         29 |
| src\components\pages\dashboard\skills-matrix                                                                                                             |          3 |        114 |          0 |         13 |        127 |
| src\components\pages\dashboard\standard-worksheet                                                                                                        |         10 |        249 |          0 |         35 |        284 |
| src\components\pages\dashboard\standard-worksheet (Files)                                                                                                |          3 |         38 |          0 |         10 |         48 |
| src\components\pages\dashboard\standard-worksheet\modules                                                                                                |          7 |        211 |          0 |         25 |        236 |
| src\components\pages\dashboard\standard-worksheet\modules\Tabs                                                                                           |          3 |         48 |          0 |          8 |         56 |
| src\components\pages\dashboard\standard-worksheet\modules\boardSideB                                                                                     |          4 |        163 |          0 |         17 |        180 |
| src\components\pages\dashboard\team-goals                                                                                                                |          5 |        276 |          6 |         28 |        310 |
| src\components\pages\dashboard\team-goals (Files)                                                                                                        |          2 |        123 |          2 |         13 |        138 |
| src\components\pages\dashboard\team-goals\modules                                                                                                        |          3 |        153 |          4 |         15 |        172 |
| src\components\pages\login                                                                                                                               |          1 |        107 |          3 |         14 |        124 |
