"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\ricar\Desktop\front-vw\vw-frontend\package-lock.json", "JSON", 597, 0, 0, 0, 0, 0, 597
"c:\Users\ricar\Desktop\front-vw\vw-frontend\package.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\api\axios.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\app\store.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 3
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\downIcon.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\lastNames.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\mail.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\name.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\password.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\pdf_modules\DocumentList.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 6, 89
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\pdf_modules\DocumentListItem.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 4, 32
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\pdf_modules\PDFViewer.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 3, 19
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\userManualButton\index.tsx", "TypeScript JSX", 0, 0, -3, 0, 0, -1, -4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\index.tsx", "TypeScript JSX", 0, 0, -7, 0, 0, 0, -7
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\board.tsx", "TypeScript JSX", 0, 0, 4, 0, -10, 1, -5
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\FormBoard.tsx", "TypeScript JSX", 0, 0, 56, 0, 6, 3, 65
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\RowBoard.tsx", "TypeScript JSX", 0, 0, -4, 0, 0, -1, -5
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\AdministratorsTab.tsx", "TypeScript JSX", 0, 0, -53, 0, 0, -6, -59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\AllTab.tsx", "TypeScript JSX", 0, 0, 59, 0, 1, 3, 63
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\CoordinatorsTab.tsx", "TypeScript JSX", 0, 0, -53, 0, 0, -6, -59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\FilteredTab.tsx", "TypeScript JSX", 0, 0, 90, 0, 1, 20, 111
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\ManagersTab.tsx", "TypeScript JSX", 0, 0, -53, 0, 0, -6, -59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\TeamLeadersTab.tsx", "TypeScript JSX", 0, 0, -53, 0, 0, -6, -59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\VisualizersTab.tsx", "TypeScript JSX", 0, 0, -53, 0, 0, -6, -59
